,eolbp,amount_of_factors,lbp_length,eras_long,eras_short,amount_of_months
0,1972-10-31,51,12,1972-1990,1972-1985,18
1,1972-11-30,51,12,1972-1990,1972-1985,29
2,1972-12-31,51,12,1972-1990,1972-1985,16
3,1973-01-31,51,12,1972-1990,1972-1985,15
4,1973-02-28,51,12,1972-1990,1972-1985,25
5,1973-03-31,51,12,1972-1990,1972-1985,24
6,1973-04-30,51,12,1972-1990,1972-1985,23
7,1973-05-31,51,12,1972-1990,1972-1985,22
8,1973-06-30,51,12,1972-1990,1972-1985,21
9,1973-07-31,51,12,1972-1990,1972-1985,21
10,1973-08-31,51,12,1972-1990,1972-1985,19
11,1973-09-30,51,12,1972-1990,1972-1985,19
12,1973-10-31,51,12,1972-1990,1972-1985,18
13,1973-11-30,51,12,1972-1990,1972-1985,17
14,1973-12-31,51,12,1972-1990,1972-1985,17
15,1974-01-31,51,12,1972-1990,1972-1985,19
16,1974-02-28,51,12,1972-1990,1972-1985,18
17,1974-03-31,51,12,1972-1990,1972-1985,67
18,1974-04-30,51,12,1972-1990,1972-1985,66
19,1974-05-31,51,12,1972-1990,1972-1985,65
20,1974-06-30,51,12,1972-1990,1972-1985,64
21,1974-07-31,51,12,1972-1990,1972-1985,62
22,1974-08-31,51,12,1972-1990,1972-1985,61
23,1974-09-30,51,12,1972-1990,1972-1985,43
24,1974-10-31,51,12,1972-1990,1972-1985,59
25,1974-11-30,51,12,1972-1990,1972-1985,59
26,1974-12-31,51,12,1972-1990,1972-1985,57
27,1975-01-31,51,12,1972-1990,1972-1985,56
28,1975-02-28,51,12,1972-1990,1972-1985,55
29,1975-03-31,51,12,1972-1990,1972-1985,54
30,1975-04-30,51,12,1972-1990,1972-1985,54
31,1975-05-31,51,12,1972-1990,1972-1985,55
32,1975-06-30,51,12,1972-1990,1972-1985,51
33,1975-07-31,51,12,1972-1990,1972-1985,51
34,1975-08-31,51,12,1972-1990,1972-1985,49
35,1975-09-30,51,12,1972-1990,1972-1985,49
36,1975-10-31,51,12,1972-1990,1972-1985,47
37,1975-11-30,51,12,1972-1990,1972-1985,46
38,1975-12-31,51,12,1972-1990,1972-1985,45
39,1976-01-31,51,12,1972-1990,1972-1985,47
40,1976-02-29,51,12,1972-1990,1972-1985,44
41,1976-03-31,51,12,1972-1990,1972-1985,43
42,1976-04-30,51,12,1972-1990,1972-1985,41
43,1976-05-31,51,12,1972-1990,1972-1985,40
44,1976-06-30,51,12,1972-1990,1972-1985,40
45,1976-07-31,51,12,1972-1990,1972-1985,38
46,1976-08-31,51,12,1972-1990,1972-1985,37
47,1976-09-30,51,12,1972-1990,1972-1985,36
48,1976-10-31,51,12,1972-1990,1972-1985,36
49,1976-11-30,51,12,1972-1990,1972-1985,35
50,1976-12-31,51,12,1972-1990,1972-1985,34
51,1977-01-31,51,12,1972-1990,1972-1985,32
52,1977-02-28,51,12,1972-1990,1972-1985,14
53,1977-03-31,51,12,1972-1990,1972-1985,13
54,1977-04-30,51,12,1972-1990,1972-1985,29
55,1977-05-31,51,12,1972-1990,1972-1985,29
56,1977-06-30,51,12,1972-1990,1972-1985,27
57,1977-07-31,51,12,1972-1990,1972-1985,27
58,1977-08-31,51,12,1972-1990,1972-1985,34
59,1977-09-30,51,12,1972-1990,1972-1985,28
60,1977-10-31,51,12,1972-1990,1972-1985,26
61,1977-11-30,51,12,1972-1990,1972-1985,31
62,1977-12-31,51,12,1972-1990,1972-1985,34
63,1978-01-31,51,12,1972-1990,1972-1985,148
64,1978-02-28,51,12,1972-1990,1972-1985,153
65,1978-03-31,51,12,1972-1990,1972-1985,256
66,1978-04-30,51,12,1972-1990,1972-1985,14
67,1978-05-31,51,12,1972-1990,1972-1985,13
68,1978-06-30,51,12,1972-1990,1972-1985,12
69,1978-07-31,51,12,1972-1990,1972-1985,0
70,1978-08-31,51,12,1972-1990,1972-1985,0
71,1978-09-30,51,12,1972-1990,1972-1985,37
72,1978-10-31,51,12,1972-1990,1972-1985,127
73,1978-11-30,51,12,1972-1990,1972-1985,35
74,1978-12-31,51,12,1972-1990,1972-1985,34
75,1979-01-31,51,12,1972-1990,1972-1985,33
76,1979-02-28,51,12,1972-1990,1972-1985,32
77,1979-03-31,51,12,1972-1990,1972-1985,31
78,1979-04-30,51,12,1972-1990,1972-1985,30
79,1979-05-31,51,12,1972-1990,1972-1985,246
80,1979-06-30,51,12,1972-1990,1972-1985,16
81,1979-07-31,51,12,1972-1990,1972-1985,0
82,1979-08-31,51,12,1972-1990,1972-1985,0
83,1979-09-30,51,12,1972-1990,1972-1985,144
84,1979-10-31,51,12,1972-1990,1972-1985,24
85,1979-11-30,51,12,1972-1990,1972-1985,23
86,1979-12-31,51,12,1972-1990,1972-1985,22
87,1980-01-31,51,12,1972-1990,1972-1985,21
88,1980-02-29,51,12,1972-1990,1972-1985,20
89,1980-03-31,51,12,1972-1990,1972-1985,19
90,1980-04-30,51,12,1972-1990,1972-1985,18
91,1980-05-31,51,12,1972-1990,1972-1985,17
92,1980-06-30,51,12,1972-1990,1972-1985,16
93,1980-07-31,51,12,1972-1990,1972-1985,13
94,1980-08-31,51,12,1972-1990,1972-1985,12
95,1980-09-30,51,12,1972-1990,1972-1985,0
96,1980-10-31,51,12,1972-1990,1972-1985,0
97,1980-11-30,51,12,1972-1990,1972-1985,0
98,1980-12-31,51,12,1972-1990,1972-1985,0
99,1981-01-31,51,12,1972-1990,1972-1985,32
100,1981-02-28,51,12,1972-1990,1972-1985,32
101,1981-03-31,51,12,1972-1990,1972-1985,31
102,1981-04-30,51,12,1972-1990,1972-1985,30
103,1981-05-31,51,12,1972-1990,1972-1985,29
104,1981-06-30,51,12,1972-1990,1972-1985,31
105,1981-07-31,51,12,1972-1990,1972-1985,220
106,1981-08-31,51,12,1972-1990,1972-1985,20
107,1981-09-30,51,12,1972-1990,1972-1985,19
108,1981-10-31,51,12,1972-1990,1972-1985,18
109,1981-11-30,51,12,1972-1990,1972-1985,15
110,1981-12-31,51,12,1972-1990,1972-1985,16
111,1982-01-31,51,12,1972-1990,1972-1985,15
112,1982-02-28,51,12,1972-1990,1972-1985,14
113,1982-03-31,51,12,1972-1990,1972-1985,13
114,1982-04-30,51,12,1972-1990,1972-1985,12
115,1982-05-31,51,12,1972-1990,1972-1985,0
116,1982-06-30,51,12,1972-1990,1972-1985,0
117,1982-07-31,51,12,1972-1990,1972-1985,0
118,1982-08-31,51,12,1972-1990,1972-1985,0
119,1982-09-30,51,12,1972-1990,1972-1985,0
120,1982-10-31,51,12,1972-1990,1972-1985,98
121,1982-11-30,51,12,1972-1990,1972-1985,104
122,1982-12-31,51,12,1972-1990,1972-1985,102
123,1983-01-31,51,12,1972-1990,1972-1985,96
124,1983-02-28,51,12,1972-1990,1972-1985,257
125,1983-03-31,51,12,1972-1990,1972-1985,256
126,1983-04-30,51,12,1972-1990,1972-1985,257
127,1983-05-31,51,12,1972-1990,1972-1985,254
128,1983-06-30,51,12,1972-1990,1972-1985,0
129,1983-07-31,51,12,1972-1990,1972-1985,70
130,1983-08-31,51,12,1972-1990,1972-1985,87
131,1983-09-30,51,12,1972-1990,1972-1985,20
132,1983-10-31,51,12,1972-1990,1972-1985,72
133,1983-11-30,51,12,1972-1990,1972-1985,71
134,1983-12-31,51,12,1972-1990,1972-1985,70
135,1984-01-31,51,12,1972-1990,1972-1985,43
136,1984-02-29,51,12,1972-1990,1972-1985,42
137,1984-03-31,51,12,1972-1990,1972-1985,72
138,1984-04-30,51,12,1972-1990,1972-1985,40
139,1984-05-31,51,12,1972-1990,1972-1985,39
140,1984-06-30,51,12,1972-1990,1972-1985,38
141,1984-07-31,51,12,1972-1990,1972-1985,37
142,1984-08-31,51,12,1972-1990,1972-1985,36
143,1984-09-30,51,12,1972-1990,1972-1985,35
144,1984-10-31,51,12,1972-1990,1972-1985,34
145,1984-11-30,51,12,1972-1990,1972-1985,33
146,1984-12-31,51,12,1972-1990,1972-1985,30
147,1985-01-31,51,12,1972-1990,1972-1985,29
148,1985-02-28,51,12,1972-1990,1972-1985,28
149,1985-03-31,51,12,1972-1990,1972-1985,27
150,1985-04-30,51,12,1972-1990,1972-1985,26
151,1985-05-31,51,12,1972-1990,1972-1985,25
152,1985-06-30,51,12,1972-1990,1972-1985,24
153,1985-07-31,51,12,1972-1990,1972-1985,25
154,1985-08-31,51,12,1972-1990,1972-1985,23
155,1985-09-30,51,12,1972-1990,1972-1985,70
156,1985-10-31,51,12,1972-1990,1972-1985,69
157,1985-11-30,51,12,1972-1990,1972-1985,69
158,1985-12-31,51,12,1972-1990,1972-1985,68
159,1986-01-31,51,12,1972-1990,1986-1990,66
160,1986-02-28,51,12,1972-1990,1986-1990,65
161,1986-03-31,51,12,1972-1990,1986-1990,15
162,1986-04-30,51,12,1972-1990,1986-1990,14
163,1986-05-31,51,12,1972-1990,1986-1990,30
164,1986-06-30,51,12,1972-1990,1986-1990,12
165,1986-07-31,51,12,1972-1990,1986-1990,0
166,1986-08-31,51,12,1972-1990,1986-1990,0
167,1986-09-30,51,12,1972-1990,1986-1990,0
168,1986-10-31,51,12,1972-1990,1986-1990,26
169,1986-11-30,51,12,1972-1990,1986-1990,58
170,1986-12-31,51,12,1972-1990,1986-1990,57
171,1987-01-31,51,12,1972-1990,1986-1990,56
172,1987-02-28,51,12,1972-1990,1986-1990,21
173,1987-03-31,51,12,1972-1990,1986-1990,57
174,1987-04-30,51,12,1972-1990,1986-1990,53
175,1987-05-31,51,12,1972-1990,1986-1990,51
176,1987-06-30,51,12,1972-1990,1986-1990,50
177,1987-07-31,51,12,1972-1990,1986-1990,49
